food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
T3_0001,Dal makhani,Mixed meals,45,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,4.5,3.15,5.85,Low,0.74,100,10.0,Black gram + butter/cream; carbs moderate per 100g.
T3_0002,"Chole (Punjabi, masala)",Mixed meals,40,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.4,4.48,8.32,Low,0.74,100,16.0,Chickpeas in gravy; carbs moderate.
T3_0003,Rajma masala,Mixed meals,38,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.08,4.26,7.9,Low,0.74,100,16.0,Kidney beans in gravy; carbs moderate.
T3_0004,Kadhi pakora,Mixed meals,50,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.0,4.2,7.8,Low,0.7,100,12.0,Curd+besan with pakora; recipe-based.
T3_0005,Palak paneer,Mixed meals,25,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,1.5,1.12,1.88,Low,0.75,100,6.0,Low-carb spinach gravy.
T3_0006,Paneer butter masala,Mixed meals,30,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,2.4,1.68,3.12,Low,0.72,100,8.0,Tomato gravy; modest carbs.
T3_0007,Shahi paneer,Mixed meals,35,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,3.5,2.45,4.55,Low,0.7,100,10.0,Richer gravy; slightly higher carbs.
T3_0008,Chana masala,Mixed meals,40,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.4,4.48,8.32,Low,0.74,100,16.0,Chickpeas in tomato-onion gravy.
T3_0009,Aloo gobi,Mixed meals,75,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,9.0,6.3,11.7,Low,0.7,100,12.0,Potato-forward sabzi; higher GI component.
T3_0010,Aloo matar,Mixed meals,70,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,9.8,6.86,12.74,Low,0.7,100,14.0,Potato + peas; recipe-based.
