food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
T4_0001,Butter chicken,Mixed meals,35,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,2.8,1.4,4.2,Low,0.58,100,8.0,Tomato-butter gravy; carbs mainly from sauce.
T4_0002,Chicken tikka masala,Mixed meals,38,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,3.42,1.71,5.13,Low,0.58,100,9.0,Restaurant-style gravy; variable sugar.
T4_0003,Paneer tikka masala,Mixed meals,42,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,5.04,2.52,7.56,Low,0.56,100,12.0,Paneer + sweetened gravy.
T4_0004,Malai kofta,Mixed meals,55,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,9.9,4.95,14.85,Low,0.55,100,18.0,Fried kofta + sweet gravy.
T4_0005,Veg kofta curry,Mixed meals,58,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,11.6,5.8,17.4,Medium,0.55,100,20.0,Fried kofta + gravy.
T4_0006,Chicken korma,Mixed meals,40,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,4.0,2.0,6.0,Low,0.56,100,10.0,Cashew gravy; moderate carbs.
T4_0007,Navratan korma,Mixed meals,45,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,6.3,3.15,9.45,Low,0.55,100,14.0,Sweetened gravy; recipe varies.
T4_0008,Chicken shawarma (Indian restaurant),Mixed meals,50,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,11.0,5.5,16.5,Medium,0.55,100,22.0,Wrap + sauces; highly variable.
T4_0009,Falafel wrap,Mixed meals,55,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,13.75,6.88,20.62,Medium,0.55,100,25.0,Fried chickpea balls + bread.
T4_0010,Veg momos,Snacks,60,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,13.2,6.6,19.8,Medium,0.56,100,22.0,Dough + filling; restaurant variability.
